ID,QC_LEVEL,INFO_SOURCE,CONTACT,EMAIL,ORGANISATION,ORGANISATION_ID,NO_REVISION,PERSON_REVISION,TIME_EVENT,TIME_CREATION,TIME_LAST_REVISION,TIME_ACCURACY,COUNTRY,STATE,PLACE,PLACE_LOCAL_LANGUAGE,DETAILED_LOCATION,NEAREST_CITY,LATITUDE,LONGITUDE,PLACE_ACCURACY,OROGRAPHY,SURFACE_INITIAL_LOCATION,SURFACE_CROSSED,TYPE_EVENT,NO_OBJECTS,MAX_HAIL_DIAMETER,MAX_HAILSTONE_WEIGHT,AVERAGE_HAIL_DIAMETER,THICKNESS_HAIL_LAYER,HAILSTONE,F_SCALE,F_SCALE_METHOD,DI_OF_MAX_IF,DOD_OF_MAX_IF,T_SCALE,RATING_BASIS,WIND_SPEED,TEN_MIN_WIND_SPEED,FUNNEL_SIGHTED,SUCTION_VORTICES,PRECIPITATION_AMOUNT,SNOW_FALL_AMOUNT,PEAK_PRECIP_AMOUNT,PEAK_SNOW_FALL_AMOUNT,PEAK_PRECIP_PERIOD,MAX_6_HOUR_PRECIP,MAX_6_HOUR_SNOW_FALL,MAX_12_HOUR_PRECIP,MAX_12_HOUR_SNOW_FALL,MAX_24_HOUR_PRECIP,MAX_24_HOUR_SNOW_FALL,CONVECTIVE,TOTAL_DURATION,TYPE_PRECIP,SIZE_ACCOMPANYING_HAIL,POSSIBILITIES,PATH_LENGTH,MEAN_PATH_WIDTH,MAX_PATH_WIDTH,MAX_VERTICAL_DEVELOP,DIRECTION_MOVEMENT,SNOW_HAZARDS,MEAN_HEIGHT_SNOW_CORNICES,MAX_HEIGHT_SNOW_CORNICES,ICE_HAZARDS,THICKNESS_ICE_COVER,THICKNESS_RIME_COVER,AVALANCHE_TYPE,AVALANCHE_FLOW_TYPE,SNOW_MASS_TYPE,AVALANCHE_SIZE,AVALANCHE_TRIGGER,ELEVATION_START,ELEVATION_DIFFERENCE,LIGHTNING_DAMAGE_TO,PEAK_CURRENT,POLARITY,EXCEPT_ELEC_PHENOM,PROPERTY_DAMAGE,CROP_FOREST_DAMAGE,TOTAL_DAMAGE,NO_INJURED,NO_KILLED,EVENT_DESCRIPTION,PATH_START_LATITUDE,PATH_START_LONGITUDE,PATH_START_DATETIME,PATH_END_LATITUDE,PATH_END_LONGITUDE,PATH_END_DATETIME,EXT_URL,REFERENCE,IMPACTS,CREATOR_ID,REVISOR_ID,LINK_ORG,LINK_ID,DELETED
"212649","QC0+","EYEWTN,DMGEYEWTN","Thilo Kühne (ESWD management/ESSL Team)","","","","1","ESSL","2024-06-30 01:42:00","2024-06-30 11:42:10","2024-06-30 11:42:10","15M","DE","Niedersachsen","Schulenburg","","","","52.433","9.671","5KM","","","WATER","WIND","","","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Wind-related damage","","","","","","","","Spotter observation. WarnWetter App (operated by DWD), 30 JUN 2024. Report plausible. Radar checked","","Thilo","Thilo","ESSL","212649","N"
"212644","QC0+","EYEWTN,DMGEYEWTN","Thilo Kühne (ESWD management/ESSL Team)","","","","1","ESSL","2024-06-30 01:39:00","2024-06-30 11:39:47","2024-06-30 11:39:47","15M","DE","Niedersachsen","Winzlar","","","","52.450","9.267","5KM","","","WATER","WIND","","","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Wind-related damage","","","","","","","","Spotter observation. WarnWetter App (operated by DWD), 30 JUN 2024. Report plausible. Radar checked","","Thilo","Thilo","ESSL","212644","N"
"212650","QC0+","EYEWTN,DMGEYEWTN","Thilo Kühne (ESWD management/ESSL Team)","","","","1","ESSL","2024-06-30 01:35:00","2024-06-30 11:42:43","2024-06-30 11:42:43","15M","DE","Niedersachsen","Waldhausen","","","","52.346","9.777","5KM","","","WATER","WIND","","","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Wind-related damage","","","","","","","","Spotter observation. WarnWetter App (operated by DWD), 30 JUN 2024. Report plausible. Radar checked","","Thilo","Thilo","ESSL","212650","N"
"212651","QC0+","EYEWTN,DMGEYEWTN","Thilo Kühne (ESWD management/ESSL Team)","","","","2","ESSL","2024-06-30 01:34:00","2024-06-30 11:42:59","2024-06-30 11:44:13","15M","DE","Niedersachsen","Dohren","","","","52.300","9.721","5KM","","","WATER","WIND","","","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Wind-related damage","","","","","","","","Spotter observation. WarnWetter App (operated by DWD), 30 JUN 2024. Report plausible. Radar checked","","Thilo","Thilo","ESSL","212651","N"
"212645","QC0+","EYEWTN,DMGEYEWTN","Thilo Kühne (ESWD management/ESSL Team)","","","","1","ESSL","2024-06-30 01:33:00","2024-06-30 11:40:17","2024-06-30 11:40:17","15M","DE","Niedersachsen","Lindhorst","","","","52.367","9.283","5KM","","","WATER","WIND","","","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Wind-related damage","","","","","","","","Spotter observation. WarnWetter App (operated by DWD), 30 JUN 2024. Report plausible. Radar checked","","Thilo","Thilo","ESSL","212645","N"
"212481","QC0+","EYEWTN","Thilo Kühne (ESWD management/ESSL Team)","","","","1","ESSL","2024-06-30 01:32:00","2024-06-30 08:09:51","2024-06-30 08:09:51","5M","DE","Brandenburg","Klein Lüben","","","","52.965","11.855","3KM","","","WATER","HAIL","","3","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Large hail 3cm i.d.","","","","","","","","Spotter observation. WarnWetter App (operated by DWD), 29 JUN 2024. Radar checked","","Thilo","Thilo","ESSL","212481","N"
"212647","QC0+","EYEWTN,DMGEYEWTN","Thilo Kühne (ESWD management/ESSL Team)","","","","1","ESSL","2024-06-30 01:23:00","2024-06-30 11:41:13","2024-06-30 11:41:13","15M","DE","Niedersachsen","Springe","","","","52.217","9.550","5KM","","","WATER","WIND","","","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Wind-related damage","","","","","","","","Spotter observation. WarnWetter App (operated by DWD), 30 JUN 2024. Report plausible. Radar checked","","Thilo","Thilo","ESSL","212647","N"
"212576","QC1","DMGEYEWTN,GOV","Thilo Kühne (ESWD management/ESSL Team)","","","","1","ESSL","2024-06-30 01:22:00","2024-06-30 09:22:57","2024-06-30 09:22:57","5M","DE","Niedersachsen","Schnackenburg","","","","53.036","11.563","3KM","","","WATER","WIND","","","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","Witness damage report. Reported v. störungsauskunft.de, 30 JUN 2024. Radar checked","I1","Thilo","Thilo","ESSL","212576","N"
"212574","QC1","DMGEYEWTN,GOV","Thilo Kühne (ESWD management/ESSL Team)","","","","1","ESSL","2024-06-30 01:20:00","2024-06-30 09:22:14","2024-06-30 09:22:14","5M","DE","Niedersachsen","Gartow","","","","53.024","11.447","3KM","","","WATER","WIND","","","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","Witness damage report. Reported v. störungsauskunft.de, 30 JUN 2024. Radar checked","I1","Thilo","Thilo","ESSL","212574","N"
"212575","QC1","DMGEYEWTN,GOV","Thilo Kühne (ESWD management/ESSL Team)","","","","1","ESSL","2024-06-30 01:20:00","2024-06-30 09:22:34","2024-06-30 09:22:34","5M","DE","Niedersachsen","Holtorf","","","","53.033","11.507","3KM","","","WATER","WIND","","","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","Witness damage report. Reported v. störungsauskunft.de, 30 JUN 2024. Radar checked","I1","Thilo","Thilo","ESSL","212575","N"
"212696","QC1","WWW,DMGPHOTO,GOV","Thilo Kühne (ESWD management/ESSL Team)","","","","1","ESSL","2024-06-30 01:20:00","2024-07-01 07:52:13","2024-07-01 07:52:13","5M","DE","Niedersachsen","Wrisbergholzen","","","","52.027","9.894","3KM","","","WATER","WIND","","","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","Ortsfeuerwehr Sibbesse (Facebook), 30 JUN 2024","T1W3","Thilo","Thilo","ESSL","212696","N"
"212640","QC0+","EYEWTN,DMGEYEWTN","Thilo Kühne (ESWD management/ESSL Team)","","","","2","ESSL","2024-06-30 01:14:00","2024-06-30 11:32:00","2024-06-30 11:33:52","15M","DE","Niedersachsen","Silixen","","","","52.138","9.064","5KM","","","WATER","WIND","","","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Wind-related damage","","","","","","","","Spotter observation. WarnWetter App (operated by DWD), 30 JUN 2024. Report plausible. Radar checked","","Thilo","Thilo","ESSL","212640","N"
"212643","QC0+","EYEWTN,DMGEYEWTN","Thilo Kühne (ESWD management/ESSL Team)","","","","1","ESSL","2024-06-30 01:12:00","2024-06-30 11:33:01","2024-06-30 11:33:01","15M","DE","Niedersachsen","Rohrsen","","","","52.117","9.417","5KM","","","WATER","WIND","","","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Wind-related damage","","","","","","","","Spotter observation. WarnWetter App (operated by DWD), 30 JUN 2024. Report plausible. Radar checked","","Thilo","Thilo","ESSL","212643","N"
"212581","QC1","DMGEYEWTN,GOV","Thilo Kühne (ESWD management/ESSL Team)","","","","1","ESSL","2024-06-30 01:10:00","2024-06-30 09:26:54","2024-06-30 09:26:54","5M","DE","Mecklenburg-Vorpommern","Daschow","","","","53.500","12.167","3KM","","","WATER","WIND","","","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","Witness damage report. Reported v. störungsauskunft.de, 30 JUN 2024. Radar checked","I1","Thilo","Thilo","ESSL","212581","N"
"212582","QC1","DMGEYEWTN,GOV","Thilo Kühne (ESWD management/ESSL Team)","","","","1","ESSL","2024-06-30 01:10:00","2024-06-30 09:27:11","2024-06-30 09:27:11","5M","DE","Mecklenburg-Vorpommern","Karow","","","","53.533","12.267","3KM","","","WATER","WIND","","","","","","","","IF","","","","RATING_DMGSVY,RATING_DMGPHOTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","Witness damage report. Reported v. störungsauskunft.de, 30 JUN 2024. Radar checked","I1","Thilo","Thilo","ESSL","212582","N"
