ID,QC_LEVEL,INFO_SOURCE,CONTACT,EMAIL,ORGANISATION,ORGANISATION_ID,NO_REVISION,PERSON_REVISION,TIME_EVENT,TIME_CREATION,TIME_LAST_REVISION,TIME_ACCURACY,COUNTRY,STATE,PLACE,PLACE_LOCAL_LANGUAGE,DETAILED_LOCATION,NEAREST_CITY,LATITUDE,LONGITUDE,PLACE_ACCURACY,OROGRAPHY,SURFACE_INITIAL_LOCATION,SURFACE_CROSSED,TYPE_EVENT,NO_OBJECTS,MAX_HAIL_DIAMETER,MAX_HAILSTONE_WEIGHT,AVERAGE_HAIL_DIAMETER,THICKNESS_HAIL_LAYER,HAILSTONE,F_SCALE,F_SCALE_METHOD,DI_OF_MAX_IF,DOD_OF_MAX_IF,T_SCALE,RATING_BASIS,WIND_SPEED,TEN_MIN_WIND_SPEED,FUNNEL_SIGHTED,SUCTION_VORTICES,PRECIPITATION_AMOUNT,SNOW_FALL_AMOUNT,PEAK_PRECIP_AMOUNT,PEAK_SNOW_FALL_AMOUNT,PEAK_PRECIP_PERIOD,MAX_6_HOUR_PRECIP,MAX_6_HOUR_SNOW_FALL,MAX_12_HOUR_PRECIP,MAX_12_HOUR_SNOW_FALL,MAX_24_HOUR_PRECIP,MAX_24_HOUR_SNOW_FALL,CONVECTIVE,TOTAL_DURATION,TYPE_PRECIP,SIZE_ACCOMPANYING_HAIL,POSSIBILITIES,PATH_LENGTH,MEAN_PATH_WIDTH,MAX_PATH_WIDTH,MAX_VERTICAL_DEVELOP,DIRECTION_MOVEMENT,SNOW_HAZARDS,MEAN_HEIGHT_SNOW_CORNICES,MAX_HEIGHT_SNOW_CORNICES,ICE_HAZARDS,THICKNESS_ICE_COVER,THICKNESS_RIME_COVER,AVALANCHE_TYPE,AVALANCHE_FLOW_TYPE,SNOW_MASS_TYPE,AVALANCHE_SIZE,AVALANCHE_TRIGGER,ELEVATION_START,ELEVATION_DIFFERENCE,LIGHTNING_DAMAGE_TO,PEAK_CURRENT,POLARITY,EXCEPT_ELEC_PHENOM,PROPERTY_DAMAGE,CROP_FOREST_DAMAGE,TOTAL_DAMAGE,NO_INJURED,NO_KILLED,EVENT_DESCRIPTION,PATH_START_LATITUDE,PATH_START_LONGITUDE,PATH_START_DATETIME,PATH_END_LATITUDE,PATH_END_LONGITUDE,PATH_END_DATETIME,EXT_URL,REFERENCE,IMPACTS,CREATOR_ID,REVISOR_ID,LINK_ORG,LINK_ID,DELETED
63496,QC1,"WWW,NWSP,EYEWTN,DMGEYEWTN,EVTPHOTO",Igor Laskowski (ESWD management) / VOP Nicolas Baluteau,,Skywarn Poland,,2,ESSL,06/06/2024 18:45,07/06/2024 06:18,08/06/2024 05:27,5M,FR,Région Rhône-Alpes,Ambérieux,,Ambérieux-d'Azergues,,45.917,4.733,3KM,,,,HAIL,,4,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Large hail up to at least 4 cm i.d. was reported. The time was based on radar data.,,,,,,,https://www.facebook.com/photo.php?fbid=10228915078974507&set=p.10228915078974507&type=3 https://www.leprogres.fr/environnement/2024/06/07/de-la-grele-est-tombee-dans-le-departement-ce-jeudi-plusieurs-communes-particulierement-touchees https://twitter.com/Meteovilles/status/1798807571001692180,"Eyewitness report via Lyon Météo (on Facebook), 06 JUN 2024.  """"Plusieurs communes touchées par la grêle jeudi, des orages encore annoncés"""", Le Progrès, 7 June 2024.  Guillaume Séchet @ Météovilles (on X), 6 June 2024.",V2,Igor,VOP_Baluteau,ESSL,63496,N
63491,QC1,"WWW,EYEWTN,EVTPHOTO",Igor Laskowski (ESWD management),,Skywarn Poland,,1,ESSL,06/06/2024 18:42,07/06/2024 06:08,07/06/2024 06:08,5M,FR,Région Rhône-Alpes,Marcy,,,,45.915,4.68,3KM,,,,HAIL,,3,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Large hail up to at least 3 cm i.d. was reported. The time was based on radar data.,,,,,,,https://www.facebook.com/photo.php?fbid=450502461029305&set=p.450502461029305&type=3,"Eyewitness report via Lyon Météo (on Facebook), 06 JUN 2024.",,Igor,Igor,ESSL,63491,N
63488,QC0+,"WWW,EYEWTN,EVTPHOTO",Igor Laskowski (ESWD management),,Skywarn Poland,,1,ESSL,06/06/2024 18:40,07/06/2024 05:58,07/06/2024 05:58,15M,FR,Région Rhône-Alpes,Le Breuil,,,,45.894,4.587,3KM,,,,HAIL,,2.5,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Large hail up to at least 2-3 cm i.d. (roughly estimated) was reported. The time was based on radar data.,,,,,,,https://www.facebook.com/MeteoExpress/videos/1415007382530534/,"Eyewitness report via Météo Express (on Facebook), 06 JUN 2024.",,Igor,Igor,ESSL,63488,N
63494,QC1,"WWW,NWSP,EYEWTN,EVTPHOTO",Igor Laskowski (ESWD management) / VOP Nicolas Baluteau,,Skywarn Poland,,2,ESSL,06/06/2024 18:39,07/06/2024 06:14,08/06/2024 05:13,5M,FR,Région Rhône-Alpes,Chessy,,,,45.9,4.617,3KM,,,,HAIL,,4.5,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Large hail up to at least 4-5 cm i.d. was reported. The time was based on radar data.,,,,,,,https://www.facebook.com/photo.php?fbid=10227240264372057&set=p.10227240264372057&type=3 https://www.leprogres.fr/environnement/2024/06/07/de-la-grele-est-tombee-dans-le-departement-ce-jeudi-plusieurs-communes-particulierement-touchees https://twitter.com/Meteovilles/status/1798807571001692180,"Eyewitness report via Lyon Météo (on Facebook), 06 JUN 2024.  """"Plusieurs communes touchées par la grêle jeudi, des orages encore annoncés"""", Le Progrès, 7 June 2024.  Guillaume Séchet @ météovilles (on X), 6 June 2024.",,Igor,VOP_Baluteau,ESSL,63494,N
20607,QC1,"WWW,EVTPHOTO",Gabriel Strommer (ESWD management),,,,1,ESSL,06/06/2024 18:37,07/06/2024 11:33,07/06/2024 11:33,15M,AT,Steiermark,Puntigam,,,,47.033,15.433,3KM,,,,HAIL,,2,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,https://www.facebook.com/photo.php?fbid=7658841707526673&set=p.7658841707526673&type=3,"User report via Skywarn Austria - Aktuelle Wetterwarnungen für Österreich, 6 June 2024. RAD.",,Gabriel,Gabriel,ESSL,20607,N
63486,QC1,"WWW,EYEWTN,EVTPHOTO",Igor Laskowski (ESWD management),,Skywarn Poland,,1,ESSL,06/06/2024 18:35,07/06/2024 05:53,07/06/2024 05:53,5M,FR,Région Rhône-Alpes,Bully,,,,45.851,4.579,3KM,,,,HAIL,,4,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Large hail up to at least 4 cm i.d. was reported. The time was based on radar data.,,,,,,,https://www.facebook.com/MeteoExpress/posts/pfbid02ZctTda1VmYXvCuoBdnorjeVoid71umD1VGmwfK1YC9nQ1eY4x5kpPGPpXBTH8buGl,"Eyewitness report via Météo Express (on Facebook), 06 JUN 2024.",,Igor,Igor,ESSL,63486,N
63489,QC1,"WWW,EYEWTN,EVTPHOTO",Igor Laskowski (ESWD management),,Skywarn Poland,,1,ESSL,06/06/2024 18:35,07/06/2024 06:01,07/06/2024 06:01,5M,FR,Région Rhône-Alpes,Nuelles,,,,45.85,4.617,3KM,,,,HAIL,,2.5,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Large hail up to at least 2.5 cm i.d. was reported. The time was based on radar data.,,,,,,,https://www.facebook.com/photo.php?fbid=3280419612263917&set=p.3280419612263917&type=3,"Eyewitness report via Lyon Météo (on Facebook), 06 JUN 2024.",,Igor,Igor,ESSL,63489,N
63492,QC1,"WWW,NWSP,EYEWTN,DMGEYEWTN,EVTPHOTO",Igor Laskowski (ESWD management) / VOP Nicolas Baluteau,,Skywarn Poland,,3,ESSL,06/06/2024 18:33,07/06/2024 06:11,08/06/2024 05:10,5M,FR,Région Rhône-Alpes,L'Arbresle,,,,45.833,4.617,3KM,,,,HAIL,,3.5,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Large hail up to at least 3.5 cm i.d. was reported. The time was based on radar data.,,,,,,,https://www.facebook.com/lyonmeteo/videos/487549780308077/ https://www.facebook.com/lyonmeteo/posts/pfbid02QTUJuPUAKdM73qqzQR298mcF18eDXRYpmvRvUbpUV5WasmQEpw778HHaSzJzm1gSl?comment_id=1592284134810411 https://www.leprogres.fr/environnement/2024/06/07/de-la-grele-est-tombee-dans-le-departement-ce-jeudi-plusieurs-communes-particulierement-touchees,"Eyewitnesses reports via Lyon Météo (on Facebook), 06 JUN 2024.  """"Plusieurs communes touchées par la grêle jeudi, des orages encore annoncés"""", Le Progrès, 7 June 2024.",H2V2,Igor,VOP_Baluteau,ESSL,63492,N
63497,QC1,"WWW,EYEWTN,EVTPHOTO",Igor Laskowski (ESWD management),,Skywarn Poland,,1,ESSL,06/06/2024 18:30,07/06/2024 06:19,07/06/2024 06:19,5M,FR,Région Rhône-Alpes,Ancy,,,,45.833,4.517,3KM,,,,HAIL,,3,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Large hail up to at least 3 cm i.d. was reported. The time was based on radar data.,,,,,,,https://www.facebook.com/photo.php?fbid=10227286010589157&set=p.10227286010589157&type=3,"Eyewitness report via Lyon Météo (on Facebook), 06 JUN 2024.",,Igor,Igor,ESSL,63497,N
211493,QC1,EYEWTN,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,06/06/2024 18:26,06/06/2024 18:40,06/06/2024 18:40,5M,DE,Bayern,Rosenheim,,,,47.856,12.122,3KM,,,,HAIL,,2,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Large hail up to 2cm i.d.,,,,,,,,"Spotter observation. WarnWetter App (operated by DWD), 06 JUN 2024. Multiple individual reports form that storm. Radar checked",,Thilo,Thilo,ESSL,211493,N
211494,QC1,EYEWTN,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,06/06/2024 18:24,06/06/2024 18:41,06/06/2024 18:41,5M,DE,Bayern,Fürstätt,,,,47.854,12.096,3KM,,,,HAIL,,2,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Large hail up to 2cm i.d.,,,,,,,,"Spotter observation. WarnWetter App (operated by DWD), 06 JUN 2024. Multiple individual reports form that storm. Radar checked",,PUBLIC,PUBLIC,ESSL,211494,N
63500,QC1,"WWW,EYEWTN,EVTPHOTO",Igor Laskowski (ESWD management),,Skywarn Poland,,1,ESSL,06/06/2024 18:15,07/06/2024 06:27,07/06/2024 06:27,5M,FR,Région Rhône-Alpes,Chambost-Longessaigne,,,,45.767,4.367,3KM,,,,HAIL,,4,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Large hail up to at least 4 cm i.d. was reported. The time was based on radar data.,,,,,,,https://www.facebook.com/photo.php?fbid=25756864120595360&set=p.25756864120595360&type=3,"Eyewitness report via Météo42 (on Facebook), 06 JUN 2024.",,Igor,Igor,ESSL,63500,N
211488,QC1,"EYEWTN,EVTPHOTO",Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,06/06/2024 18:00,06/06/2024 18:35,06/06/2024 18:35,5M,DE,Bayern,Großhelfendorf,,,,47.944,11.794,3KM,,,,HAIL,,2,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Large hail up to 2cm i.d.,,,,,,,,"Spotter observation. WarnWetter App (operated by DWD), 06 JUN 2024. Photo. Radar checked",,Thilo,Thilo,ESSL,211488,N
